id,random1, random2, random3
0,4355832378434647637,2227366576601334258,8701544369113151537
1,1153807734105203238,7805522072672691657,6988645188614774466
2,400779131069509815,3859531003606484730,3247491860759082471
3,6001169675443548026,3397138399586389367,2105823000590248598
4,4376730614537469749,7864904239372695608,9050764907632822306
5,377503501319753799,119822959138748364,1436270805152449282
6,5244579454094176277,750810683079526006,8485109485979257688
7,5385894785372800765,2387271131699005731,3155535868942580706
8,1611278097122259699,4097402905126165551,6000575485224673910
9,7250507964808397061,3893106651654613648,1889351006152161386
10,88099209427056958,4707932811976734831,2459869939941131312
11,6947148596659621836,1150413493292962073,237369385563518111
12,2479748246373264569,3602605538674260549,3688260203312192320
13,3822213982509491260,7743599494402248106,454716636611221345
14,3205641637863240444,3520929123947914195,7562120233081585321
15,1875154623376051079,5964964869136157243,6443945275004105758
16,58123003745130775,5258132337765086142,465611038732269696
17,5062784974803877279,4063862544814960167,635013539573640587
18,49045898110517021,1612603634536134650,1684711893638228012
19,4844930665889299376,686274783697873004,466517069951157966
20,678669536785041360,5563879116226760051,9074220339396923175
21,3530017515489954934,4925461741060796839,5447743996962944816
22,2562585715879576944,734294706318875074,6327711621866076365
23,8585163882534554681,3946619902372521169,5637478888399845544
24,9185479780639071584,6169451129476108188,2829042290194821485
25,4306797979207693652,3460625187685111321,1496676221175556766
26,7548813923322234983,1538872336576756237,4685991393387852375
27,7605726022077680320,7394427429385391606,1308416101906186065
28,4365703066713590576,6543501108390032744,7171398095859479931
29,8669138664728289497,2603349188502243327,5242980011943178330
30,61303889839454414,5291471697634744063,6033250868915769898
31,8643741383953427942,7817848856826207284,7652899662936649861
32,799760377592621348,5980796314476284038,5420279027141926644
33,1752463851822580039,4402491746092795657,872120355124382706
34,7240940195768453294,7580011025838299689,5151383672093673945
35,8902201790561501261,9106017973887503878,6750637832397045857
36,1175458750340053044,1188273605452313718,97503968279532647
37,4682910314715202537,479142625470152679,4709772779501893823
38,2991639617984739419,5696994362498741458,2444547072086110594
39,8525539227477412318,687145381189439706,4294677116012295002
40,3135142952575001246,8553844468905753300,8999576503366455454
41,3567511822631419213,634162584251398636,4601882935463318871
42,1921541987091432527,5159875035001829565,3215418469819978133
43,8974346014586749365,6702008404224623058,4915138300684991201
44,1164312354179874351,4421603289001997766,4690212337237593480
45,5093833804059504669,3211542638039088096,5261227758736962178
46,8656196260822415472,3230203515657212863,936436303438366622
47,8724778630070450545,5360814289574096130,772397189414902512
48,5363740698746010289,2229349909414251426,3121913705946031785
49,4057354822276017040,7242533847517991836,2859858083547218737
50,637844732958119287,6756213381870194408,1266710187453128934
51,4009715253215322281,4898817668936683558,5310231932042507799
52,2224550191149355797,8719320117460014550,7807625580349985471
53,6470167785588796474,4277622362778117753,3548097539068750876
54,210130827637099763,2868087020314667049,2269740076788019236
55,4683640020922163992,5324266999230646371,1185357461085451496
56,6481821990657405995,1166617717440980459,1372165824440030060
57,336751187796618404,6227650614666840102,2396010210729742070
58,4303611988883934426,3582087089423677063,6882562875593053141
59,8311801876220661402,5324013066071189766,1926781647228514388
60,5320559656280408549,7462295313297686116,8292008936837447589
61,8696496247358233653,8783383467814579247,7933443086854767018
62,4997588902954161394,1965479377725569584,7898760710935210305
63,8324647228865259067,7706271649503470080,2141069674381304916
64,3664341476588097787,7784159624893457886,7913157167369980928
65,5870663677642560871,43264810729641414,8594833376818906552
66,5090540865225058226,1831598001818559223,4103557130707190518
67,649883567386166790,644817975607797462,7798824397868641335
68,7296556973201571017,3879020017212732535,6968663317465463139
69,3752709803210688062,276727709257185246,5028293623244089101
70,7967645416563994098,701298756919211656,8480847234661768379
71,7949157107417194561,1795788940883270983,7113102201443932497
72,2252673405471698561,7041073477440490294,1386585664323885250
73,1483877269077447393,1134305051753307529,5027529561877207489
74,6960019455743635683,7223300631102078723,6324773387948956578
75,2113118086030271611,6565459610557938845,1597261602426256932
76,9220044558240317061,9036084989596415345,4533999716118563742
77,8120876823279655710,6496938431268994152,2179612806321542119
78,1896544710035162089,5371799120249157542,5307643525150911888
79,5197000781712482317,8529451434621510901,5898423693366291983
80,7084392576322058363,1914921395155373256,7097870897222131420
81,788033083603903999,7447726486162866698,2325878580380318502
82,6205722282112812244,1978117879213400831,7300276929467848297
83,1304603132493376787,5511022023667609573,5113361236351919309
84,6698895626003265523,437964300779156094,2628957860341031770
85,2279348967784730031,7181492258586655318,8738826468354813821
86,5529275141492737926,4600117894627601826,7459966301144785172
87,3716488997948210893,4673170858227192795,5747737283209869401
88,4930532369684787575,5947882425316383819,6000849265964501525
89,1169758329218098748,7398758005910100740,287135827159444811
90,6412422782245226170,4881843226023410033,2660763861742707318
91,668043499209728801,5397264975805332734,6498858227138090768
92,3319044841053066479,4688904622324198042,954028205891936340
93,2999732739741746578,9110445107822732801,6504354215536376607
94,761006372126391830,6655560198332977711,3787241962165462501
95,6034327752998477870,7508331249129438977,108107392838068319
96,6692106010941727628,7082534590156401518,4670397432718177957
97,3405938198683069773,9027875041185829125,4116834024388917349
98,6437052682035790663,8983577525504889815,551882531740998452
99,5085329362548882641,434682754148139121,5383792325432157752
100,6468299061796198622,2944043863815969470,546578394874954569
101,1221544966273982806,5113370816973763250,8442356643972077930
102,7839247690525618454,413245805655630661,2269852694752405456
103,212948176455828852,6534840114396117964,5543327533684360530
104,1574174934431597470,3048339546980883994,6191962891773273667
105,3424057496368003863,4598990600013221329,2244384796180493433
106,6309917656255991422,4413977808763174472,179077042002156683
107,9149944484612525478,5267699928836903025,7987955595133858264
108,1795684069144465866,621403178231950544,9011440331576543627
109,916773821715938818,4537585308024589812,1432531653877458889
110,3474268735290608877,8030024545705419512,1605272253641703263
111,6867070445235645603,7683782768476799177,8618510000225856947
112,310853135643554205,1554713040263832177,7467044577333511800
113,565500726094062406,7251270945898988447,8636523987079220314
114,7707651250684813271,6872941749664777013,8707458227270945281
115,6372273888824729813,6157613903087042457,7909527785276221801
116,7605731616501277455,5324863146097921537,6150826772844562775
117,1114937059640564061,6494463749741490056,3624353405080236393
118,4012243321338626351,7210705212448358168,6726285449582434001
119,5835446351212105738,1902571894980723954,426658879755377137
120,2185834555801713405,1051203027671772488,989333755550152364
121,7852366981494803898,8999884051325615562,7672103861827601118
122,2192549126312387427,449492418397302970,197452876437299601
123,6098078023673447767,8462193049635186131,7146932522750001609
124,7139716296877516776,1130317513820443123,1943289964539249742
125,6956238389797529406,663744539341147534,3086646921471581025
126,1885221285927982732,7877059367863733162,2066276480344260320
127,5195995816390250217,4693936886817742776,7316902187296574841
128,367535155776424141,1337657690549335765,2524769587198762041
129,8304062266464003292,5320526108877343064,7717069317606891545
130,2117139283364616222,1073762810496195033,3939628128536903624
131,1416512428742648731,2646320550364168610,8663941538202253095
132,3711755799515363522,7738547756233478512,4626688439722893240
133,5461449237727431352,3265739194386087552,5412849733790234288
134,5235462785503456867,3460023105032842037,8097724810481592614
135,7442071052414067430,6138596783036960399,7552449211887514679
136,3841346446464325309,6734720304660084723,4956886425700469787
137,8145613846370829534,3976632841264394211,6106396147285364645
138,1755181702806023912,8891869840267649563,7134638071079451547
139,757205927283503678,5616692534633800533,8014175909375382651
140,2882588350040421201,7243028714711787990,1019549617476920412
141,2902105949358414317,2280981568687185507,2713412748993417453
142,7138859602841171030,5610693177871457102,3767215761328786144
143,8472005002595766847,6495441703122291470,5744552748040732979
144,7900254961700780608,9213843417288985203,2773101267606089573
145,7129128143073241154,6561811794955841271,5374224139478353668
146,1584464057049461906,1080515166100635766,2564987304827323470
147,1606755445087913955,1469517762325728665,5480177963557697215
148,7320974921997020632,3988027097691571575,2986639711364291291
149,2776418895568039987,3222854386459359228,5443787508302504121
150,2114195490568469024,8763575711637150567,95339936666264541
151,9108390356797062491,7040990924188257042,6369346841503887585
152,7832661524118456642,6011956674160860834,3767535256879886562
153,2209286740383421563,7119970240609722123,7955026188925710838
154,2035695021863105942,2048435583340108507,6754356290960863676
155,2652800235595246557,1204484593651914008,8681330022048756845
156,98189885910371697,8622376430998188010,1283835996818044028
157,8080251143614418226,7444532534955943930,1440857393389901070
158,9053781517804629662,5261242964244818140,4500608260072008830
159,384585261219367288,7637877698275309535,9161978701534911483
160,4279375340171376911,716610963878636677,2516817864760899139
161,9152574380583624782,5726881646616097427,8661944957710100545
162,8584746683523220989,5334590092057640387,7061029894470267950
163,2857698350771868093,2654959150620456576,3227096549400826145
164,6742677838282052142,8782555719730197390,2799014215873017328
165,3844953284340668037,4969812401085615903,5459412201498620332
166,1456697487752097987,3511186874113099144,4648810306296279520
167,3680858921821597671,7649134911315844784,9073630424495729361
168,8125564623125369014,6939540078649835345,85043695903276844
169,7315369980947713920,2461349797604868580,5620170664466475354
170,5069617373445370995,7951049298416989366,7816322227902628728
171,1679713630289874210,4328055588929594029,1884748660762924627
172,366865070115183189,8160737096151800428,8093943735721824162
173,1076816410784372452,7546417679028707110,5319308224715285023
174,2919718735878148638,5858386655317285751,5635511494992111457
175,8993598113960559286,3973547236589013463,9184608474443565477
176,1170459045140213136,2989627622774214588,319572490908803461
177,7318082412467576759,3061756423314584352,6070466352950356570
178,1932711902649915968,2931526103553058042,4734775690866113838
179,5577545551186058424,7780745695659656902,6185907932925872030
180,4928304318258330688,2238640758175027140,5044321858740723453
181,2432000710998766748,764624849653024063,3060679717238262898
182,2751331098443151967,659169885400546463,2295632235972926848
183,524705518487518211,505971076375208406,1750670837139312531
184,1902647470853297809,5781347181239361561,3656661899920882561
185,1499323919185309298,2281036890499357050,3842097851879763727
186,2200549920710342967,1536459716529871930,49945879174924267
187,2552440112964170672,1185554322659950640,1002139484714935406
188,8208103277333022172,1775082665864302922,132249061829817163
189,8973968720688126014,4523398899866731079,9207476717681362388
190,3779654784264229176,6109756459502776572,8375632993066763666
191,5639966943027538897,1547804205536587881,793452915077410403
192,5812768288059795798,4806642801147721152,8573826914720817281
193,1612524243219432575,7732725439261096119,6616513002941900660
194,6579454462022129455,8453080263769582237,2608613810222905018
195,9131432110098361206,1388961395024484786,5743790541545278893
196,8675810196420316737,4141557114758667418,7514309881493466916
197,3027274914277291098,8905365845771519311,6488918419356553030
198,2243266580821607193,5671979262109981924,7122992715383644254
199,2485970614018718453,1371646807705430395,1898401696084148151
200,942262328597935914,2241122705452090544,8274259735839906266
201,8628606925502795640,5765050722458173766,7728393434316230009
202,6050683832921527741,3324654079385454597,5701951677388106176
203,6418917542562540706,559414309157919640,2404458087856076032
204,8907703740637178846,4316048642713152155,8533674200562733318
205,4334532653187612177,4616225441380106344,323996965172215791
206,1035024218839667662,2664195762688552358,5180015546314352564
207,5456398502406315091,967738368682992312,1157745624738626634
208,2902440770571006785,6035885212770026313,464263885910445937
209,2130824611285010667,7150715107604822566,6753713848017703775
210,1991826239330001342,7860639091186507396,6869120114165646506
211,6746192901586989940,3861044979413802287,1758570712788714780
